======= START ======
2021-11-21 09:17:33 = {"category":"account","task":"processPayment","data":{"account_id":123,"amount":59000}}
2021-11-21 09:17:36 = {"category":"account","task":"processPayment","data":{"account_id":345,"amount":99000}}
2021-11-21 09:17:39 = {"category":"amocrm","task":"sendLead","data":{"lead_id":1}}
2021-11-21 09:17:43 = {"category":"account","task":"processPayment","data":{"account_id":678,"amount":139000}}
2021-11-21 09:17:44 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:17:45 = {"category":"amocrm","task":"sendLead","data":{"lead_id":2}}
2021-11-21 09:17:48 = {"category":"amocrm","task":"sendLead","data":{"lead_id":10}}
2021-11-21 09:17:50 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:17:52 = {"category":"amocrm","task":"sendLead","data":{"lead_id":23}}
======= START ====== 
2021-11-21 09:19:16 = {"category":"account","task":"processPayment","data":{"account_id":345,"amount":99000}}
2021-11-21 09:19:16 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:19:17 = {"category":"account","task":"processPayment","data":{"account_id":123,"amount":59000}}
2021-11-21 09:19:17 = {"category":"amocrm","task":"sendLead","data":{"lead_id":2}}
2021-11-21 09:19:17 = {"category":"account","task":"processPayment","data":{"account_id":678,"amount":139000}}
2021-11-21 09:19:18 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:19:18 = {"category":"amocrm","task":"sendLead","data":{"lead_id":1}}
2021-11-21 09:19:18 = {"category":"amocrm","task":"sendLead","data":{"lead_id":10}}
2021-11-21 09:19:20 = {"category":"amocrm","task":"sendLead","data":{"lead_id":23}}
======= START ====== 
2021-11-21 09:44:57 = {"category":"account","task":"processPayment","data":{"account_id":123,"amount":59000}}
2021-11-21 09:44:58 = {"category":"account","task":"processPayment","data":{"account_id":345,"amount":99000}}
2021-11-21 09:44:59 = {"category":"amocrm","task":"sendLead","data":{"lead_id":1}}
2021-11-21 09:44:59 = {"category":"amocrm","task":"sendLead","data":{"lead_id":2}}
2021-11-21 09:45:00 = {"category":"account","task":"processPayment","data":{"account_id":678,"amount":139000}}
2021-11-21 09:45:01 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:45:01 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:45:01 = {"category":"amocrm","task":"sendLead","data":{"lead_id":10}}
2021-11-21 09:45:02 = {"category":"amocrm","task":"sendLead","data":{"lead_id":23}}
2021-11-21 09:45:42 = {"category":"account","task":"processPayment","data":{"account_id":345,"amount":99000}}
2021-11-21 09:45:42 = {"category":"account","task":"processPayment","data":{"account_id":123,"amount":59000}}
2021-11-21 09:45:43 = {"category":"account","task":"processPayment","data":{"account_id":678,"amount":139000}}
2021-11-21 09:45:43 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:45:43 = {"category":"amocrm","task":"sendLead","data":{"lead_id":2}}
2021-11-21 09:45:44 = {"category":"account","task":"processPayment","data":{"account_id":912,"amount":99000}}
2021-11-21 09:45:44 = {"category":"amocrm","task":"sendLead","data":{"lead_id":1}}
2021-11-21 09:45:45 = {"category":"amocrm","task":"sendLead","data":{"lead_id":23}}
2021-11-21 09:45:46 = {"category":"amocrm","task":"sendLead","data":{"lead_id":10}}
